region_id,region,country,provstate,city
280,Southeast Asia,Cambodia,Siem Reap (Province),Sot Nikun District
185,Southeast Asia,Cambodia,Stung Treng (Province),Unknown
29,Southeast Asia,Cambodia,Unknown,Ang Kron
50,Southeast Asia,Cambodia,Unknown,Unknown
586,Southeast Asia,Myanmar,Mon (State),Lamaing village
229,Southeast Asia,Myanmar,Yangon (Division),Yangon
163,Southeast Asia,Philippines,Basilan (Province),Basilan Island
744,Southeast Asia,Philippines,Davao (Region),Davao
729,Southeast Asia,Philippines,Maguindanao (Province),Buluan
233,Southeast Asia,Philippines,Rizal (Province),Manila
670,Southeast Asia,Philippines,Sulu (Province),Pangutaran Island
106,Southeast Asia,Philippines,Zamboanga Sibugay (Province),Zamboanga City
463,Southeast Asia,Thailand,Narathiwat (Province),Rangae
100,Southeast Asia,Thailand,Songkla (Province),Unknown
473,Sub-Saharan Africa,Angola,Huambo (Province),Cambambo and Cabal
578,Sub-Saharan Africa,Angola,Luanda (Province),Luanda
230,Sub-Saharan Africa,Angola,Moxico (Province),Luena
211,Sub-Saharan Africa,Angola,Zaire (Province),Mbanza Congo
149,Sub-Saharan Africa,Ethiopia,Dire Dawa (Chartered City),Dire Dawa
611,Sub-Saharan Africa,Niger,Niamey (Capital District),Niamey
217,Sub-Saharan Africa,Rwanda,Kigali (Province),Kigali
475,Sub-Saharan Africa,Sierra Leone,Southern (Province),Golahun
298,Sub-Saharan Africa,Somalia,Banaadir (Region),Mogadishu
742,Sub-Saharan Africa,Somalia,Bay (Region),Baidoa
209,Sub-Saharan Africa,Somalia,Lower Jubba (Region),Kismayu
409,Sub-Saharan Africa,Somalia,Shabeellaha Hoose (Region),Beli Dogle
246,Sub-Saharan Africa,South Africa,Eastern Cape (Province),East London
197,Sub-Saharan Africa,South Africa,Gauteng (Province),Boksburg
164,Sub-Saharan Africa,South Africa,Gauteng (Province),Johannesburg
30,Sub-Saharan Africa,South Africa,Gauteng (Province),Randfontein
491,Sub-Saharan Africa,South Africa,Gauteng (Province),Wadeville
701,Sub-Saharan Africa,South Africa,KwaZulu-Natal (Province),Durban
112,Sub-Saharan Africa,South Africa,KwaZulu-Natal (Province),Pietermaritzburg
594,Sub-Saharan Africa,South Africa,KwaZulu-Natal (Province),Pongweni
702,Sub-Saharan Africa,South Africa,KwaZulu-Natal (Province),Port Edwards
216,Sub-Saharan Africa,South Africa,KwaZulu-Natal (Province),Richmond
474,Sub-Saharan Africa,South Africa,Western Cape (Province),Beaufort West
755,Sub-Saharan Africa,South Africa,Western Cape (Province),Cape Town
390,Sub-Saharan Africa,South Africa,Western Cape (Province),Kenilworth
544,Sub-Saharan Africa,Tanzania,Dar es Salaam (Region),Dar es Salaam
173,Sub-Saharan Africa,Togo,Maritime (Region),Lome
27,Sub-Saharan Africa,Uganda,Unknown,Unknown
663,Western Europe,Austria,Oberoesterreich (State),Linz
705,Western Europe,Austria,Steiermark (State),Hartberg
713,Western Europe,Austria,Unknown,Unknown
634,Western Europe,Austria,Vienna (State),Vienna
653,Western Europe,Denmark,Copenhagen (Region),Copenhagen
649,Western Europe,Denmark,Hovedstaden (Region),Copenhagen
645,Western Europe,France,Alsace (Region),Strasbourg
348,Western Europe,France,Bouches-du-Rhône (Department),Marseille
45,Western Europe,France,Corsica,Bonifacio
46,Western Europe,France,Corsica,Porto-Vecchio
322,Western Europe,France,Corsica,Sainte-Lucie-de-Ponte-Vecchio
47,Western Europe,France,Corsica,Unknown
323,Western Europe,France,Corsica,Zonza
244,Western Europe,France,Midi-Pyrenees (Region),Pyrenees
263,Western Europe,France,Paris (Department),Paris
703,Western Europe,France,Pyrénées-Atlantiques (Department),Saint-Jean-Pied-de-Port
297,Western Europe,Germany,Baden-Wurttemberg (State),Konstanz
303,Western Europe,Germany,Baden-Wurttemberg (State),Oberhausen-Rheinhausen
321,Western Europe,Germany,Baden-Wurttemberg (State),Stuttgart
350,Western Europe,Germany,Baden-Württemberg (State),Karlsruhe
650,Western Europe,Germany,Baden-Württemberg (State),Stuttgart
307,Western Europe,Germany,Bavaria (State),Aschaffenburg
287,Western Europe,Germany,Bavaria (State),Munich
